name,raw_title,summary,link
Russell Peters,RUSSELL PETERS: ALMOST FAMOUS (2016) – Full Transcript,"Canadian comedy star, Russell Peters, visits Toronto's Massey Hall for a homecoming stand-up comedy performance. Russell returns to his trademark material of ethnic jokes and audience interaction.",https://scrapsfromtheloft.com/2018/06/29/russell-peters-almost-famous-2016-full-transcript/
Ron White,RON WHITE: A LITTLE UNPROFESSIONAL (2012) – Full Transcript,"With cigar in one hand and a glass of scotch in the other, Ron White delivers more than an hour of all new material with his signature, irreverent storytelling style and the best comedic timing in the business.",https://scrapsfromtheloft.com/2018/06/22/ron-white-a-little-unprofessional-transcript/
Michael Mcintyre,MICHAEL MCINTYRE: HELLO WEMBLEY! (2009) – Full Transcript,"The show features Michael's unique take on life - from getting to grips with wine menus and restaurant etiquette, to obsessive Wii playing and condiment hierarchy in the kitchen cupboard.",https://scrapsfromtheloft.com/2018/06/13/michael-mcintyre-hello-wembley-transcript/
Kevin Smith,KEVIN SMITH: SILENT BUT DEADLY (2018) – Full Transcript,"Kevin Smith is anything but quiet in this new comedy special that was recorded an hour before his heart attack in February. Before he nearly died backstage, onstage he discusses his marriage, his kid and his work (or lack thereof)",https://scrapsfromtheloft.com/2018/06/05/kevin-smith-silent-but-deadly-transcript/
Kevin James,KEVIN JAMES: NEVER DON’T GIVE UP (2018) – Full Transcript,"Kevin James is back with a new stand-up special dishing on parenting, allergies, his fans, and more.",https://scrapsfromtheloft.com/2018/05/27/kevin-james-never-dont-give-up-full-transcript/
Trevor Noah,TREVOR NOAH: LIVE AT THE O2 LONDON (2018) – PRINCE HARRY & MEGHAN MARKLE’S ROYAL WEDDING,"Performing to thousands of fans at the 02 Arena in London on May 19th 2018, Trevor Noah took some time to give his views on the royal wedding.",https://scrapsfromtheloft.com/2018/05/23/trevor-noah-royal-wedding-2018/
Brent Morin,BRENT MORIN: I’M BRENT MORIN (2015) – Full Transcript,"In a witty solo show, Brent Morin serves up infectious laughs on the agony of puberty, hot guy problems and the time a girl dumped him for a magician.",https://scrapsfromtheloft.com/2018/05/20/brent-morin-im-brent-morin-2015-full-transcript/
Nikki Glaser,NIKKI GLASER: PERFECT (2016) – Full Transcript,"Nikki Glaser brings her sharp wit to her first hour-long special, ""Perfect."" Glaser contemplates what it means to become an adult woman, and talks frankly about her relationships with porn and sexual shame.",https://scrapsfromtheloft.com/2018/05/16/nikki-glaser-perfect-2016-full-transcript/
Doug Stanhope,DOUG STANHOPE ON NATIONALISM,Nationalism does nothing but teach you to hate people you’ve never met. All of a sudden you take pride in accomplishments you had no part in whatsoever.,https://scrapsfromtheloft.com/2018/05/16/doug-stanhope-on-nationalism/
Ali Wong,ALI WONG: HARD KNOCK WIFE (2018) – Full Transcript,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump -- and a torrent of hilarious truths about marriage and motherhood.",https://scrapsfromtheloft.com/2018/05/15/ali-wong-hard-knock-wife-full-transcript/
Kavin Jay,KAVIN JAY: EVERYBODY CALM DOWN! (2018) – Full Transcript,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience.",https://scrapsfromtheloft.com/2018/05/06/kavin-jay-everybody-calm-down-full-transcript/
John Mulaney,JOHN MULANEY: KID GORGEOUS AT RADIO CITY (2018) – Full Transcript,"In his new Netflix stand-up comedy special 'Kid Gorgeous at Radio City', John Mulaney riffs hilariously on age, mortality, and childhood memories.",https://scrapsfromtheloft.com/2018/05/05/john-mulaney-kid-gorgeous-at-radio-city-full-transcript/
Eddie Griffin,EDDIE GRIFFIN: UNDENIABLE (2018) – Full Transcript,"Undeniable is some of the most racist, sexually abusive, insulting, angriest and disrespectful material a comedian could deliver in 2018.",https://scrapsfromtheloft.com/2018/05/01/eddie-griffin-undeniable-2018-full-transcript/
